hero_id,item_0,item_1,item_2,item_3,item_4,item_5
19,29,102,244,1,34,0
74,534,65,116,48,77,1
5,0,102,36,40,188,214
11,63,36,172,152,116,236
135,50,1,36,41,116,67
136,0,0,50,0,0,36
123,38,240,40,34,166,180
61,90,908,75,0,178,180
5,36,88,593,593,593,214
74,65,15,36,48,8,1
4,166,75,11,34,63,8
9,36,42,188,23,180,244
98,180,11,178,36,131,273
120,1,34,123,29,75,40
48,36,236,172,63,116,249
87,180,36,244,102,37,0
86,36,214,40,100,218,232
129,116,36,178,41,1,50
19,102,603,141,214,141,116
137,50,119,116,600,110,273
33,604,116,110,908,123,220
5,214,116,30,610,1,232
93,110,174,116,160,225,250
11,610,110,604,263,256,116
106,116,1,141,133,133,141
2,600,102,116,127,249,29
86,48,232,110,1,256,116
51,214,81,256,102,37,30
72,1,116,141,63,108,156
137,29,73,116,0,73,232
92,908,102,112,214,30,90
17,273,108,63,596,534,41
37,269,0,254,40,29,244
19,63,249,1,116,53,252
22,29,1,176,60,36,232
33,188,1,232,88,244,29
51,43,162,0,36,108,214
47,75,24,75,236,116,63
129,1,50,178,116,0,40
6,36,88,249,63,170,263
23,50,149,1,116,596,141
87,180,36,92,102,0,0
119,36,1,190,40,214,244
3,214,244,36,223,0,232
74,65,48,123,235,36,1
60,116,50,1,143,252,73
48,139,116,141,147,63,236
86,254,1,37,232,29,36
53,63,1466,6,249,112,116
74,267,65,36,116,77,48
43,119,116,273,596,29,77
88,214,218,188,1,36,40
85,214,43,36,908,593,188
100,102,1,41,50,36,40
52,11,119,116,121,48,273
61,908,108,90,232,75,180
5,214,36,226,218,102,30
41,160,63,116,65,158,108
86,29,36,0,232,0,0
126,100,108,58,57,36,48
135,34,50,178,116,73,168
64,100,218,254,102,214,40
48,117,263,249,116,63,36
101,244,206,254,36,57,0
80,75,29,0,0,0,0
13,534,176,1,36,48,232
68,214,36,102,92,218,0
114,174,11,598,485,29,38
61,75,36,180,90,60,81
136,50,16,8,181,34,21
11,116,63,172,117,36,236
51,38,31,102,43,34,214
14,50,1,131,178,108,244
5,254,218,36,188,214,593
12,63,170,114,65,75,36
43,50,116,267,36,244,77
19,34,43,188,214,1,593
65,116,244,36,41,48,0
128,102,254,34,42,180,188
64,188,180,36,102,88,244
129,20,116,1,50,36,178
123,41,63,1466,141,36,75
48,160,88,36,147,63,236
79,232,1,254,36,214,60
42,36,168,112,50,1,151
11,48,36,604,116,41,110
15,69,34,63,116,596,57
18,180,79,42,36,216,1
14,1,36,31,12,214,43
86,232,36,31,29,1,102
135,50,1,908,178,36,73
137,116,273,36,244,9,50
6,63,263,170,75,75,123
100,108,50,596,36,12,1
26,214,232,218,1,34,0
85,50,178,116,41,252,36
57,226,0,29,218,34,0
11,172,63,36,116,141,263
84,214,36,0,232,181,188
11,36,88,172,63,149,263
100,36,63,1,108,596,59
86,232,214,36,244,108,0
137,178,98,34,116,0,29
17,116,63,36,273,178,23
7,50,178,1,116,149,73
128,254,102,79,180,86,36
136,218,244,116,180,181,36
10,108,149,41,147,63,596
31,102,254,0,232,214,188
135,50,600,116,908,112,30
86,256,37,232,29,1,254
137,48,273,116,119,1,256
32,143,147,123,116,141,225
129,596,1,110,30,116,50
136,50,42,0,40,34,116
99,250,208,63,116,110,108
128,37,40,102,180,188,1
74,48,96,1,110,116,267
2,34,125,1,127,73,29
93,21,36,108,598,63,43
86,188,232,38,43,214,244
43,41,129,36,48,226,20
100,188,1,34,218,244,180
14,178,31,125,50,116,108
136,569,50,116,36,0,0
3,180,36,86,185,88,2
113,158,98,20,236,48,75
78,63,908,86,36,73,9
10,596,160,236,63,108,147
136,143,141,596,50,116,1
91,40,269,79,73,73,188
121,180,36,218,185,40,229
71,50,152,73,36,277,40
74,65,24,36,48,116,1
135,116,178,50,34,73,168
93,160,108,43,174,63,598
5,218,214,37,102,23,60
51,40,102,127,36,214,69
86,1,43,108,29,232,244
136,50,36,116,42,143,244
70,50,1,117,174,208,156
11,604,116,143,143,143,273
98,100,96,131,119,273,180
137,1,108,9,50,116,273
52,121,48,600,36,119,116
14,1,267,37,214,108,43
10,141,108,156,147,139,123
18,172,603,141,250,252,50
120,100,1,108,143,569,180
7,1,0,110,180,65,0
52,121,48,1,100,259,36
114,160,108,252,116,63,145
31,218,34,37,214,254,232
119,190,37,77,244,16,29
87,1,214,218,108,36,88
60,50,116,73,11,244,0
106,108,110,569,48,36,166
6,63,152,36,263,1,116
97,218,0,36,180,0,1
25,48,596,116,249,135,123
18,63,249,8,172,36,252
14,1,226,125,108,162,50
121,180,96,36,232,244,108
119,92,0,226,188,0,214
109,249,116,123,48,160,147
104,1,127,110,178,116,50
86,1,36,30,232,29,108
43,123,116,273,63,37,119
11,63,172,263,149,36,75
52,31,29,36,121,116,1
14,50,178,1,108,31,11
18,188,31,218,36,214,81
26,102,216,1,39,214,36
19,1,102,36,59,218,214
22,41,256,232,29,259,108
69,36,50,1,65,116,235
58,36,102,43,908,31,29
114,250,116,63,117,166,569
99,108,125,178,131,50,210
11,156,63,249,263,10,52
89,147,250,52,63,75,75
5,1,102,37,34,40,214
28,172,1,247,168,252,63
8,50,158,75,147,36,160
9,174,11,75,166,170,63
129,50,1,178,108,53,36
31,254,36,214,42,40,88
22,1,88,36,273,108,180
26,44,216,237,218,16,16
2,0,0,0,0,0,0
48,14,44,20,16,16,16
5,44,216,216,237,42,0
39,16,16,16,44,237,0
64,16,16,34,216,237,44
19,44,11,16,16,237,42
96,11,44,0,0,0,0
86,42,44,0,29,0,0
73,11,34,13,16,44,0
135,50,908,112,596,108,30
52,121,48,36,116,31,119
26,593,256,1,214,232,40
72,254,185,30,102,214,36
67,63,147,208,108,40,160
9,267,102,218,36,79,180
19,41,1,149,63,108,252
112,1,34,43,180,0,593
129,110,50,1,116,178,61
10,116,236,63,123,160,141
30,60,237,77,180,21,16
26,1,214,218,188,34,23
62,50,98,81,0,244,11
6,63,263,36,152,596,69
65,1,116,36,48,102,41
11,265,48,1,100,41,36
72,259,0,180,75,0,0
3,0,34,43,232,29,0
93,36,108,65,174,63,596
9,75,174,75,149,596,63
26,1,36,188,43,214,0
2,137,598,34,125,154,50
48,147,172,149,63,117,116
5,180,36,244,116,0,0
39,273,596,123,63,36,41
64,188,180,43,100,36,102
73,50,137,147,178,36,208
96,1,50,56,114,114,9
86,36,254,232,1,29,0
19,252,50,65,1,108,149
27,21,29,0,232,0,36
52,41,65,16,29,16,121
46,63,11,14,236,88,168
53,1466,65,86,0,63,0
64,36,0,43,180,0,102
136,43,36,50,116,40,17
38,569,29,34,164,13,81
58,269,73,593,43,63,0
10,147,117,63,116,26,236
9,236,166,36,63,26,147
86,29,1,37,36,232,256
65,235,48,36,116,41,1
129,50,256,1,30,116,110
10,63,147,110,160,116,123
72,102,0,36,908,214,40
7,1,102,42,232,0,214
120,174,1,143,160,108,256
52,29,226,1,96,121,0
26,1,254,43,0,214,593
70,1,116,63,143,135,145
30,254,108,15,20,180,218
43,1,116,102,596,50,108
68,40,36,214,102,37,232
53,98,156,160,603,1466,116
15,63,603,116,30,210,154
128,176,1466,180,34,0,42
52,121,48,1,96,41,116
6,52,123,147,603,63,263
88,204,1,214,259,0,0
63,156,263,141,166,596,63
38,0,0,0,0,0,0
81,0,0,0,0,0,0
75,0,0,0,0,0,0
19,0,0,0,0,0,0
91,94,44,0,0,237,0
85,181,216,44,237,188,218
25,0,0,0,0,0,0
100,29,44,42,0,0,0
43,216,16,44,20,16,15
20,0,34,44,16,16,20
86,29,102,1,43,232,34
25,596,116,247,152,48,141
11,63,65,236,172,141,5
85,50,108,13,596,252,11
31,214,0,254,36,188,102
114,98,36,569,0,21,8
53,63,141,160,166,116,534
93,160,36,174,63,252,247
84,214,36,232,43,40,23
120,143,569,174,180,1,108
81,0,0,0,0,0,0
38,44,11,16,16,0,0
75,0,0,0,0,0,0
19,0,0,0,0,0,0
91,0,0,0,0,0,0
56,0,0,0,0,0,0
43,0,0,0,0,0,0
20,0,0,0,0,0,0
85,188,181,44,216,237,218
25,237,0,42,16,16,16
19,50,41,1,36,244,108
81,1,63,151,116,36,252
75,102,190,36,214,75,75
38,36,635,185,29,9,86
91,229,79,43,34,75,75
25,48,41,116,149,596,77
43,36,50,77,596,0,116
85,180,188,36,593,265,181
100,188,34,92,29,0,244
20,108,63,36,20,75,596
21,0,11,77,166,77,29
6,75,75,170,0,63,236
75,77,77,77,63,77,0
50,180,34,0,0,0,0
11,240,63,8,244,172,36
87,44,77,29,38,0,16
40,92,190,16,214,16,0
114,63,36,252,11,569,8
20,187,36,218,16,0,214
126,50,534,11,36,0,41
52,36,121,48,131,116,265
72,188,0,218,36,29,102
85,90,79,36,180,88,108
7,1,180,244,593,40,42
12,40,63,147,174,160,36
128,36,102,254,79,180,43
92,240,908,90,29,112,16
100,1,36,60,214,0,21
10,63,147,117,160,236,108
14,50,1,116,9,31,108
128,180,36,43,188,0,0
109,55,63,36,236,75,147
72,214,0,0,190,218,36
76,77,11,36,534,277,63
17,534,116,259,63,36,41
85,116,50,596,252,178,11
54,65,151,13,50,168,11
25,250,36,1,596,48,41
107,569,9,36,0,180,0
86,232,0,0,29,0,36
31,214,0,102,254,34,0
100,116,50,1,30,149,168
137,36,50,1,273,53,116
64,29,254,102,232,41,40
54,147,50,151,117,112,168
114,36,63,116,252,143,168
76,63,65,263,116,36,77
75,77,263,116,63,75,0
19,1,102,37,29,34,244
128,254,79,218,36,180,81
59,151,13,108,13,63,162
52,48,36,121,9,0,41
48,116,172,170,63,244,236
107,29,0,36,267,0,0
58,39,214,0,102,0,36
69,908,34,0,29,188,244
53,534,240,16,166,116,63
42,11,36,50,151,75,249
20,214,36,232,0,0,0
46,168,116,149,63,1,36
58,0,102,36,75,63,75
52,116,1,9,121,29,41
61,90,908,178,36,180,108
136,50,36,0,0,188,116
35,63,160,172,263,75,149
38,29,1,635,0,11,16
100,50,1,108,36,41,0
10,63,116,108,236,24,36
9,0,59,931,0,36,102
5,214,254,218,36,0,593
71,0,0,0,0,0,0
114,0,0,0,0,0,0
31,0,0,0,0,0,0
60,0,0,0,0,0,0
110,0,0,0,0,0,0
15,0,0,0,0,0,0
10,0,0,0,0,0,0
45,0,0,0,0,0,0
101,0,0,0,0,0,0
126,0,0,0,0,0,0
107,100,188,92,42,29,0
92,9,908,36,214,185,240
65,116,48,1,9,36,244
85,36,102,43,244,180,261
6,63,263,139,149,117,596
39,63,36,596,273,21,41
77,635,11,34,86,9,55
128,0,81,218,34,180,244
46,11,63,1,236,36,8
51,102,36,216,214,0,218
108,0,0,0,0,0,0
68,0,0,0,0,0,0
136,0,0,0,0,0,0
63,0,0,0,0,0,0
65,0,0,0,0,0,0
13,0,0,0,0,0,0
58,0,0,0,0,0,0
123,0,0,0,0,0,0
83,0,0,0,0,0,0
11,0,0,0,0,0,0
19,36,41,1,50,252,149
51,73,237,73,63,60,36
6,75,63,36,263,0,170
71,50,108,73,73,244,11
31,0,43,0,180,0,36
13,0,41,36,63,534,0
90,188,214,102,39,218,216
2,0,11,36,125,13,50
50,38,36,180,23,593,12
93,14,34,11,65,63,67
66,216,79,37,0,29,88
65,1,235,37,116,30,214
120,1,569,226,174,48,143
70,208,50,116,1,156,145
136,50,36,168,0,0,116
77,21,635,36,112,11,16
23,50,36,210,73,116,73
46,63,116,1,236,168,75
9,100,185,226,29,20,36
5,244,36,218,102,214,0
114,36,50,116,166,160,569
19,50,41,1,203,244,36
129,110,50,178,73,1,116
75,75,75,63,534,263,0
31,254,38,218,34,214,232
2,127,29,1,12,125,36
25,48,41,116,149,596,77
136,0,50,0,0,21,34
64,28,0,36,180,593,244
4,50,21,36,8,166,20
39,63,123,41,36,534,273
58,269,218,123,237,0,29
43,50,100,36,123,20,11
4,116,75,123,166,63,143
114,98,36,218,143,39,569
13,534,48,1,41,176,36
18,63,1,141,172,252,21
21,20,135,34,29,0,43
69,1,50,116,244,267,11
121,43,0,28,36,0,180
8,147,50,65,160,166,75
52,48,41,1,121,692,36
120,143,174,108,180,1,569
101,77,102,0,77,206,29
31,254,0,43,34,214,232
113,29,1466,34,65,23,75
22,273,41,29,36,232,0
88,36,218,1,214,188,0
51,214,34,60,21,188,0
47,63,236,92,0,116,0
35,65,172,236,63,20,158
85,42,0,34,79,0,180
25,160,48,41,596,117,249
27,29,34,1,232,43,0
2,1,50,178,127,125,137
54,34,13,151,210,50,168
14,50,1,178,36,21,125
96,1,13,36,11,21,50
86,1,36,102,218,29,232
136,218,143,34,237,29,0
51,108,42,178,36,214,265
19,50,178,1,11,265,41
69,50,1,36,65,116,11
101,23,77,36,261,261,0
46,168,1,236,63,596,149
42,1,112,151,34,50,168
14,178,162,131,121,48,108
96,1,125,36,131,108,29
9,102,36,100,40,29,75
5,34,254,102,43,188,214
114,63,36,116,168,75,598
85,36,218,254,50,244,188
76,534,236,36,63,116,40
107,29,92,265,34,116,21
47,63,596,263,36,116,75
70,174,50,1,208,116,36
120,180,48,135,143,108,174
52,119,121,116,48,1,77
137,0,36,116,1,244,214
91,0,79,218,34,254,81
10,75,36,26,63,596,147
123,29,0,0,190,36,0
61,908,75,569,180,178,11
74,77,0,534,77,29,36
5,218,214,39,36,265,21
14,11,1,50,16,125,178
55,36,125,0,180,0,0
11,63,596,244,41,21,36
136,188,40,2,29,36,0
75,0,36,73,29,218,0
25,77,244,29,232,116,0
21,7,596,116,1,29,0
98,11,100,36,178,125,131
86,34,29,1,43,232,244
14,152,1,131,125,108,29
36,201,65,131,273,596,63
6,596,170,141,63,123,263
106,123,168,108,48,569,166
72,37,36,190,102,0,29
85,188,2,16,180,79,0
111,43,214,188,36,232,39
19,1,180,244,0,0,0
35,63,152,172,166,236,75
126,11,108,534,36,41,29
8,50,36,166,20,11,154
52,41,1,36,29,121,100
128,34,0,108,0,0,180
14,36,73,131,108,50,0
31,254,0,43,188,0,180
136,596,11,13,36,116,50
19,149,50,36,1,252,41
73,137,116,178,48,1,112
21,188,36,174,40,43,63
71,50,152,13,108,244,0
84,43,36,180,21,0,0
129,1,11,36,232,13,50
27,0,214,34,0,232,0
109,36,160,147,236,149,63
120,569,75,180,174,143,40
9,75,236,180,174,0,0
13,1,176,48,534,41,235
18,112,116,250,63,603,249
86,1,36,218,29,232,188
89,223,98,36,108,598,63
5,36,214,185,20,21,0
97,1,223,0,13,116,29
68,218,188,254,34,38,214
119,214,0,0,100,36,190
23,11,13,48,249,116,43
11,116,147,63,172,236,249
114,63,598,158,569,116,36
88,214,218,102,34,188,244
96,1,102,36,29,125,162
120,41,108,1,36,174,180
86,214,0,31,102,1,232
29,36,119,50,90,908,30
52,48,108,121,9,116,117
6,63,116,143,263,249,36
51,50,40,108,36,0,244
5,214,254,36,102,21,42
86,29,232,1,108,0,0
7,1,100,36,73,190,29
56,63,168,160,1466,596,149
5,36,116,188,214,102,593
11,236,116,156,63,139,249
109,160,116,170,63,485,236
25,48,36,41,108,235,596
51,108,36,23,29,244,593
43,267,63,21,36,596,273
87,188,0,180,36,28,254
38,931,116,635,34,30,11
5,43,21,102,75,36,214
128,9,36,16,231,102,56
22,273,108,1,48,41,232
10,63,147,123,36,116,108
69,116,1,29,36,119,65
100,50,1,168,36,116,569
89,63,114,147,123,88,98
64,102,0,244,36,232,29
51,214,36,0,254,218,21
85,188,0,180,218,81,79
89,223,63,108,908,244,34
76,16,63,1,65,232,108
9,108,36,180,75,75,75
109,596,236,123,63,149,147
56,596,63,0,1466,168,160
50,0,77,254,188,29,256
11,236,147,63,135,36,116
28,1,172,36,247,21,63
112,29,1,188,232,218,108
35,63,166,236,75,116,55
38,635,40,1,0,29,21
5,0,188,36,40,214,185
86,232,0,77,36,214,0
19,41,244,1,67,36,50
96,36,1,29,12,242,31
25,48,41,232,36,60,28
89,63,11,147,88,114,36
64,0,180,0,34,0,244
88,244,42,0,34,29,593
48,263,172,147,63,11,34
52,237,29,41,121,36,116
136,43,36,50,143,569,0
60,50,143,36,13,21,11
64,28,188,40,180,36,254
9,188,267,0,36,100,29
14,50,108,31,36,41,116
98,178,29,131,273,121,569
93,11,36,63,108,598,174
75,65,593,69,43,34,29
7,36,244,214,1,0,232
52,48,119,1,121,116,100
120,36,256,1,29,56,908
109,139,112,147,160,116,141
50,79,34,256,29,218,0
4,33,158,135,50,208,116
19,1,116,34,43,235,29
38,256,30,180,116,90,635
25,48,116,156,135,249,1
136,143,116,34,50,218,16
14,108,36,29,1,125,31
120,180,1,174,36,569,41
86,40,1,0,36,180,232
61,178,98,108,59,63,57
83,34,908,16,214,38,16
72,26,141,0,63,108,0
9,29,36,267,43,23,75
25,596,41,249,0,48,36
98,0,176,77,77,692,11
75,88,218,36,180,0,102
18,112,156,249,63,1,116
22,235,110,273,108,48,1
5,232,214,188,254,0,1
61,90,108,180,96,908,30
101,1,96,206,265,36,29
100,36,40,0,1,102,214
25,48,232,1,41,108,176
29,36,908,1,29,9,90
10,149,63,147,596,116,160
136,34,21,244,50,0,8
70,145,50,1,21,36,265
51,73,73,131,214,20,14
128,254,188,0,36,29,0
92,108,29,240,185,36,596
41,63,36,154,75,65,166
25,48,116,263,596,55,9
101,180,102,36,38,30,88
58,29,269,102,37,188,40
137,50,273,36,244,116,73
135,36,908,50,73,11,0
11,63,172,147,236,65,75
83,40,36,223,214,188,218
137,218,226,50,40,36,188
29,50,6,178,908,36,108
120,29,174,226,41,569,8
51,21,75,242,214,75,40
4,249,50,116,36,147,158
75,63,534,218,88,263,36
92,240,931,596,96,36,108
38,635,29,116,36,11,0
41,116,63,172,166,36,75
5,29,116,40,232,1,43
52,41,29,121,36,77,100
107,38,267,116,29,43,40
114,63,116,208,598,160,168
51,214,96,1,127,108,30
25,48,596,604,116,235,108
88,188,201,1,214,0,36
137,50,73,1,36,116,273
33,908,116,1,40,29,244
89,117,75,114,63,139,147
77,635,30,11,29,86,185
19,29,102,244,1,34,0
74,534,65,116,48,77,1
5,0,102,36,40,188,214
11,63,36,172,152,116,236
135,50,1,36,41,116,67
136,0,0,50,0,0,36
123,38,240,40,34,166,180
61,90,908,75,0,178,180
5,36,88,593,593,593,214
74,65,15,36,48,8,1
4,166,75,11,34,63,8
9,36,42,188,23,180,244
98,180,11,178,36,131,273
120,1,34,123,29,75,40
48,36,236,172,63,116,249
87,180,36,244,102,37,0
86,36,214,40,100,218,232
129,116,36,178,41,1,50
19,102,603,141,214,141,116
137,50,119,116,600,110,273
33,604,116,110,908,123,220
5,214,116,30,610,1,232
93,110,174,116,160,225,250
11,610,110,604,263,256,116
106,116,1,141,133,133,141
2,600,102,116,127,249,29
86,48,232,110,1,256,116
51,214,81,256,102,37,30
72,1,116,141,63,108,156
137,29,73,116,0,73,232
92,908,102,112,214,30,90
17,273,108,63,596,534,41
37,269,0,254,40,29,244
19,63,249,1,116,53,252
22,29,1,176,60,36,232
33,188,1,232,88,244,29
51,43,162,0,36,108,214
47,75,24,75,236,116,63
129,1,50,178,116,0,40
6,36,88,249,63,170,263
23,50,149,1,116,596,141
87,180,36,92,102,0,0
119,36,1,190,40,214,244
3,214,244,36,223,0,232
74,65,48,123,235,36,1
60,116,50,1,143,252,73
48,139,116,141,147,63,236
86,254,1,37,232,29,36
53,63,1466,6,249,112,116
74,267,65,36,116,77,48
43,119,116,273,596,29,77
88,214,218,188,1,36,40
85,214,43,36,908,593,188
100,102,1,41,50,36,40
52,11,119,116,121,48,273
61,908,108,90,232,75,180
5,214,36,226,218,102,30
41,160,63,116,65,158,108
86,29,36,0,232,0,0
126,100,108,58,57,36,48
135,34,50,178,116,73,168
64,100,218,254,102,214,40
48,117,263,249,116,63,36
101,244,206,254,36,57,0
80,75,29,0,0,0,0
13,534,176,1,36,48,232
68,214,36,102,92,218,0
114,174,11,598,485,29,38
61,75,36,180,90,60,81
136,50,16,8,181,34,21
11,116,63,172,117,36,236
51,38,31,102,43,34,214
14,50,1,131,178,108,244
5,254,218,36,188,214,593
12,63,170,114,65,75,36
43,50,116,267,36,244,77
19,34,43,188,214,1,593
65,116,244,36,41,48,0
128,102,254,34,42,180,188
64,188,180,36,102,88,244
129,20,116,1,50,36,178
123,41,63,1466,141,36,75
48,160,88,36,147,63,236
79,232,1,254,36,214,60
42,36,168,112,50,1,151
11,48,36,604,116,41,110
15,69,34,63,116,596,57
18,180,79,42,36,216,1
14,1,36,31,12,214,43
86,232,36,31,29,1,102
135,50,1,908,178,36,73
137,116,273,36,244,9,50
6,63,263,170,75,75,123
100,108,50,596,36,12,1
26,214,232,218,1,34,0
85,50,178,116,41,252,36
57,226,0,29,218,34,0
11,172,63,36,116,141,263
84,214,36,0,232,181,188
11,36,88,172,63,149,263
100,36,63,1,108,596,59
86,232,214,36,244,108,0
137,178,98,34,116,0,29
17,116,63,36,273,178,23
7,50,178,1,116,149,73
128,254,102,79,180,86,36
136,218,244,116,180,181,36
10,108,149,41,147,63,596
31,102,254,0,232,214,188
135,50,600,116,908,112,30
86,256,37,232,29,1,254
137,48,273,116,119,1,256
32,143,147,123,116,141,225
129,596,1,110,30,116,50
136,50,42,0,40,34,116
99,250,208,63,116,110,108
128,37,40,102,180,188,1
74,48,96,1,110,116,267
2,34,125,1,127,73,29
93,21,36,108,598,63,43
86,188,232,38,43,214,244
43,41,129,36,48,226,20
100,188,1,34,218,244,180
14,178,31,125,50,116,108
136,569,50,116,36,0,0
3,180,36,86,185,88,2
113,158,98,20,236,48,75
78,63,908,86,36,73,9
10,596,160,236,63,108,147
136,143,141,596,50,116,1
91,40,269,79,73,73,188
121,180,36,218,185,40,229
71,50,152,73,36,277,40
74,65,24,36,48,116,1
135,116,178,50,34,73,168
93,160,108,43,174,63,598
5,218,214,37,102,23,60
51,40,102,127,36,214,69
86,1,43,108,29,232,244
136,50,36,116,42,143,244
70,50,1,117,174,208,156
11,604,116,143,143,143,273
98,100,96,131,119,273,180
137,1,108,9,50,116,273
52,121,48,600,36,119,116
14,1,267,37,214,108,43
10,141,108,156,147,139,123
18,172,603,141,250,252,50
120,100,1,108,143,569,180
7,1,0,110,180,65,0
52,121,48,1,100,259,36
114,160,108,252,116,63,145
31,218,34,37,214,254,232
119,190,37,77,244,16,29
87,1,214,218,108,36,88
60,50,116,73,11,244,0
106,108,110,569,48,36,166
6,63,152,36,263,1,116
97,218,0,36,180,0,1
25,48,596,116,249,135,123
18,63,249,8,172,36,252
14,1,226,125,108,162,50
121,180,96,36,232,244,108
119,92,0,226,188,0,214
109,249,116,123,48,160,147
104,1,127,110,178,116,50
86,1,36,30,232,29,108
43,123,116,273,63,37,119
11,63,172,263,149,36,75
52,31,29,36,121,116,1
14,50,178,1,108,31,11
18,188,31,218,36,214,81
26,102,216,1,39,214,36
19,1,102,36,59,218,214
22,41,256,232,29,259,108
69,36,50,1,65,116,235
58,36,102,43,908,31,29
114,250,116,63,117,166,569
99,108,125,178,131,50,210
11,156,63,249,263,10,52
89,147,250,52,63,75,75
5,1,102,37,34,40,214
28,172,1,247,168,252,63
